month,sessions,users,engaged_sessions,leads,mobile_sessions,mobile_leads,desktop_sessions,desktop_leads,organic_sessions,paid_sessions
2024-01-01,32959,27891,20266,1367,20435,751,12524,616,11861,9517
2024-02-01,32229,25710,18533,1320,20046,682,12183,638,12846,10162
2024-03-01,32184,26433,18366,1423,20083,765,12101,658,11182,10690
2024-04-01,35359,27816,21158,1420,22135,770,13224,650,14495,11460
2024-05-01,35243,29010,20590,1501,22133,797,13110,704,13625,11968
2024-06-01,37804,29940,23245,1599,23816,822,13987,777,14574,10996
2024-07-01,36675,30057,22094,1592,23179,826,13496,766,12702,12155
2024-08-01,35463,29082,20510,1464,22484,753,12980,711,14284,10409
2024-09-01,36148,29374,20608,1575,22990,857,13158,718,12364,10806
2024-10-01,41576,33951,25733,1717,26526,921,15051,796,14837,13707
2024-11-01,42585,35494,25441,1819,27255,979,15331,840,14905,14846
2024-12-01,40631,33965,25032,1629,26085,877,14546,752,16024,13116
2025-01-01,41225,33576,22652,1670,26549,924,14676,746,14589,11700
2025-02-01,44892,36900,27296,1830,29000,1006,15892,824,18125,14507
2025-03-01,41939,35447,24785,1661,27177,919,14763,742,16186,11867
2025-04-01,43158,34025,23726,1740,28053,971,15105,769,14783,14755
2025-05-01,46365,36545,27219,1844,30230,1024,16135,820,15782,15285
2025-06-01,45708,35933,27191,1781,29893,987,15815,794,15706,13352
2025-07-01,47192,38983,25530,1957,30958,1079,16234,878,18047,13517
2025-08-01,47855,38729,27581,1479,31488,775,16366,704,18955,14014
2025-09-01,49506,41298,30002,1590,32674,823,16832,767,17659,17258
2025-10-01,52011,43013,29315,1675,34431,884,17580,791,20776,16233
2025-11-01,50936,40920,29374,1685,33821,933,17114,752,17522,17058
2025-12-01,52666,44391,30303,1669,35075,891,17590,778,20859,17093
2026-01-01,49525,41273,27940,1536,33083,814,16442,722,20055,15851
2026-02-01,53427,42685,32776,1576,35796,857,17631,719,21053,15502
2026-03-01,53135,42800,32014,1549,35707,849,17428,700,20663,18397
2026-04-01,53472,42885,29348,1630,36040,936,17432,694,21317,16100
2026-05-01,54883,43414,34014,1703,37101,926,17782,777,18814,17588
2026-06-01,56599,44733,34544,1804,38374,1013,18225,791,20043,18620
