market,treated,period,signups
North,1,before,109.6
North,1,before,110.5
North,1,before,104.6
North,1,before,110.9
North,1,before,114.9
North,1,before,114.8
North,1,after,147.5
North,1,after,142.8
North,1,after,150.2
North,1,after,146.7
North,1,after,148.1
North,1,after,149.1
South,0,before,110.0
South,0,before,118.4
South,0,before,103.7
South,0,before,106.5
South,0,before,113.8
South,0,before,117.6
South,0,after,126.8
South,0,after,127.4
South,0,after,125.5
South,0,after,132.6
South,0,after,134.1
South,0,after,132.2
