month,channel,spend,clicks,leads,customers,attributed_revenue
2024-01-01,Google Ads,11767.96,3996,309,75,147750.56
2024-01-01,Meta Ads,7048.57,4426,200,28,41813.97
2024-01-01,YouTube,2548.91,3323,55,6,11062.67
2024-02-01,Google Ads,11826.54,3790,325,77,156902.71
2024-02-01,Meta Ads,7416.16,4882,226,46,73107.81
2024-02-01,YouTube,4635.91,6366,111,11,18258.6
2024-03-01,Google Ads,13654.88,4405,323,86,156208.17
2024-03-01,Meta Ads,7016.36,4254,181,31,46409.34
2024-03-01,YouTube,4131.87,5485,95,11,19655.71
2024-04-01,Google Ads,13018.14,4186,374,83,136325.04
2024-04-01,Meta Ads,8798.53,5717,263,46,75517.59
2024-04-01,YouTube,4826.63,6036,109,13,18053.7
2024-05-01,Google Ads,13449.4,3974,329,80,125511.23
2024-05-01,Meta Ads,8534.79,5237,247,45,73494.44
2024-05-01,YouTube,4057.84,5125,92,7,11754.72
2024-06-01,Google Ads,14042.96,4197,330,72,113978.86
2024-06-01,Meta Ads,8432.89,5540,263,40,61881.6
2024-06-01,YouTube,4263.78,5496,116,11,21304.46
2024-07-01,Google Ads,13843.77,3881,305,77,124617.85
2024-07-01,Meta Ads,8114.37,5257,244,49,76711.46
2024-07-01,YouTube,5184.69,6663,116,14,22998.01
2024-08-01,Google Ads,15522.48,4553,398,89,167065.78
2024-08-01,Meta Ads,8091.59,5161,223,39,64725.85
2024-08-01,YouTube,4989.64,6477,121,12,18068.73
2024-09-01,Google Ads,16489.44,5050,405,88,129801.12
2024-09-01,Meta Ads,9195.07,5864,282,56,99475.25
2024-09-01,YouTube,5583.58,6820,110,11,16280.49
2024-10-01,Google Ads,16487.71,4727,361,85,149826.84
2024-10-01,Meta Ads,8974.1,5569,258,48,86815.44
2024-10-01,YouTube,5774.55,7340,130,17,28531.09
2024-11-01,Google Ads,17571.74,4935,388,77,126307.01
2024-11-01,Meta Ads,9302.66,5578,270,45,70862.72
2024-11-01,YouTube,5059.39,6107,118,9,15233.36
2024-12-01,Google Ads,18234.42,5192,415,100,169822.59
2024-12-01,Meta Ads,10351.16,6421,272,39,69776.75
2024-12-01,YouTube,5624.33,6986,128,12,18065.24
2025-01-01,Google Ads,17353.98,4612,353,76,133624.4
2025-01-01,Meta Ads,10160.79,5672,234,38,68586.62
2025-01-01,YouTube,4906.09,5882,103,12,17498.66
2025-02-01,Google Ads,18569.32,5252,448,95,148963.91
2025-02-01,Meta Ads,11814.13,7327,320,53,93149.14
2025-02-01,YouTube,7084.77,8210,157,10,14681.31
2025-03-01,Google Ads,19058.53,4904,371,68,115706.55
2025-03-01,Meta Ads,10781.96,6421,280,38,69017.41
2025-03-01,YouTube,6388.01,7764,157,18,30246.54
2025-04-01,Google Ads,18977.73,5084,397,102,186603.0
2025-04-01,Meta Ads,11641.46,7031,308,47,82217.4
2025-04-01,YouTube,7451.13,8633,159,9,14623.86
2025-05-01,Google Ads,20177.02,5223,388,90,156196.49
2025-05-01,Meta Ads,10362.4,5719,240,56,79790.76
2025-05-01,YouTube,5416.71,6449,119,15,20287.97
2025-06-01,Google Ads,20777.15,5420,403,92,178375.14
2025-06-01,Meta Ads,11184.84,6743,298,51,92344.02
2025-06-01,YouTube,6394.91,7305,130,13,22123.64
2025-07-01,Google Ads,21235.61,5551,425,102,172625.47
2025-07-01,Meta Ads,11738.79,6470,295,56,87862.54
2025-07-01,YouTube,7567.0,8619,171,16,26740.39
2025-08-01,Google Ads,26427.61,5689,457,105,195493.53
2025-08-01,Meta Ads,11638.06,6229,269,41,69905.64
2025-08-01,YouTube,7011.78,8101,114,11,16504.03
2025-09-01,Google Ads,27272.78,5739,409,68,116218.09
2025-09-01,Meta Ads,11446.63,6148,259,43,79570.47
2025-09-01,YouTube,8405.41,9270,157,13,20634.76
2025-10-01,Google Ads,27583.46,5763,434,107,178669.13
2025-10-01,Meta Ads,12513.0,6632,294,56,101504.25
2025-10-01,YouTube,7718.13,8227,119,12,19845.11
2025-11-01,Google Ads,28235.09,5990,461,102,166981.76
2025-11-01,Meta Ads,14290.04,8114,333,71,119687.22
2025-11-01,YouTube,7715.07,8824,155,17,28976.49
2025-12-01,Google Ads,28302.04,5710,406,91,167768.36
2025-12-01,Meta Ads,12691.36,7033,283,54,96963.79
2025-12-01,YouTube,8172.07,8266,133,17,30235.53
2026-01-01,Google Ads,28788.17,5775,405,92,155087.58
2026-01-01,Meta Ads,13486.9,7531,306,55,88285.6
2026-01-01,YouTube,7789.87,8210,138,17,28071.6
2026-02-01,Google Ads,30029.37,5521,417,93,158730.78
2026-02-01,Meta Ads,13308.3,6881,276,63,112146.14
2026-02-01,YouTube,6774.43,7518,109,13,23866.95
2026-03-01,Google Ads,30831.34,5891,471,105,191960.76
2026-03-01,Meta Ads,13369.56,7555,326,51,90297.4
2026-03-01,YouTube,7751.06,8555,152,18,31562.14
2026-04-01,Google Ads,30582.84,5924,451,108,168549.65
2026-04-01,Meta Ads,14338.52,7962,309,51,76139.77
2026-04-01,YouTube,7950.99,7889,132,20,37731.78
2026-05-01,Google Ads,31170.63,5668,411,84,149933.43
2026-05-01,Meta Ads,14086.31,7515,313,48,87675.66
2026-05-01,YouTube,9629.37,9840,177,21,32704.27
2026-06-01,Google Ads,31990.51,6270,449,110,183561.75
2026-06-01,Meta Ads,14611.42,8048,333,48,84409.98
2026-06-01,YouTube,8932.18,9026,152,18,34744.94
