month,revenue,cogs,operating_expense,marketing_expense,accounts_receivable,customers,average_invoice
2024-01-01,187742.45,106735.04,52951.39,18798.46,192015.04,120,1564.52
2024-02-01,188145.14,100732.86,57945.34,18531.82,184875.76,113,1665.0
2024-03-01,214512.47,114899.35,60388.26,18792.04,205578.98,129,1662.89
2024-04-01,222195.08,118484.18,62608.67,19854.34,234618.63,126,1763.45
2024-05-01,196936.02,108515.6,63933.68,18575.2,217236.42,115,1712.49
2024-06-01,198805.38,110972.56,65130.04,19513.47,247087.66,118,1684.79
2024-07-01,204750.56,111263.24,62653.82,20312.76,235876.4,116,1765.09
2024-08-01,193518.82,103483.48,63262.94,21353.3,237482.93,124,1560.64
2024-09-01,191479.58,102563.24,68173.93,23679.73,219572.24,120,1595.66
2024-10-01,183932.6,102274.4,65976.09,22763.43,205882.59,117,1572.07
2024-11-01,205208.43,114312.36,63672.94,24046.2,236466.92,127,1615.81
2024-12-01,215145.13,119429.53,65050.14,26709.07,255302.31,140,1536.75
2025-01-01,222794.28,120783.96,66641.64,25372.48,310849.55,131,1700.72
2025-02-01,246710.17,136369.68,71841.48,27335.02,300223.47,151,1633.84
2025-03-01,252387.6,139407.76,71727.28,25979.66,339688.29,165,1529.62
2025-04-01,246916.37,136844.56,74321.46,27503.47,308185.75,157,1572.72
2025-05-01,258235.71,144931.27,71918.24,27259.97,358630.41,154,1676.86
2025-06-01,240955.06,133951.71,74625.62,28643.16,330268.28,140,1721.11
2025-07-01,248706.05,139579.92,76976.77,37208.37,336472.13,137,1815.37
2025-08-01,231255.67,128562.09,75121.96,34777.22,318889.81,123,1880.13
2025-09-01,223945.41,133074.54,78370.33,38021.31,356001.73,133,1683.8
2025-10-01,218961.63,131159.72,75964.22,38435.28,368163.15,139,1575.26
2025-11-01,242275.11,139929.34,77810.84,38087.02,397250.69,164,1477.29
2025-12-01,242094.23,142859.54,78704.79,37714.73,388954.96,145,1669.62
2026-01-01,255545.05,150668.94,77212.48,40186.56,414358.84,161,1587.24
2026-02-01,272455.8,160514.01,83210.92,40114.61,473121.09,169,1612.16
2026-03-01,293392.42,174115.35,81291.79,41679.21,542367.01,183,1603.24
2026-04-01,298859.0,182036.63,83687.48,42076.22,529677.59,182,1642.08
2026-05-01,299053.16,176489.78,86042.24,44622.13,529949.35,172,1738.68
2026-06-01,292522.39,177407.59,86889.59,43062.77,531626.8,176,1662.06
